Local time,Open,High,Low,Close,Volume
20.04.2020 01:09:00.000 GMT+0100,0.96839,0.96840,0.96831,0.96837,55.26
20.04.2020 01:10:00.000 GMT+0100,0.96835,0.96840,0.96829,0.96835,43.33
20.04.2020 01:11:00.000 GMT+0100,0.96839,0.96844,0.96835,0.96843,57.24
20.04.2020 01:12:00.000 GMT+0100,0.96846,0.96867,0.96845,0.96849,130.92
20.04.2020 01:13:00.000 GMT+0100,0.96849,0.96850,0.96834,0.96844,67.25
20.04.2020 01:14:00.000 GMT+0100,0.96845,0.96853,0.96841,0.96847,65.88
20.04.2020 01:15:00.000 GMT+0100,0.96850,0.96860,0.96846,0.96852,69.76
20.04.2020 01:16:00.000 GMT+0100,0.96851,0.96851,0.96838,0.96845,79.57
20.04.2020 01:17:00.000 GMT+0100,0.96845,0.96851,0.96842,0.96848,48.13
20.04.2020 01:18:00.000 GMT+0100,0.96847,0.96849,0.96837,0.96841,58.05
20.04.2020 01:19:00.000 GMT+0100,0.96842,0.96844,0.96839,0.96844,59.59
20.04.2020 01:20:00.000 GMT+0100,0.96848,0.96859,0.96848,0.96859,40.93
20.04.2020 01:21:00.000 GMT+0100,0.96859,0.96868,0.96851,0.96859,68.33
20.04.2020 01:22:00.000 GMT+0100,0.96862,0.96873,0.96850,0.96854,63.01
20.04.2020 01:23:00.000 GMT+0100,0.96854,0.96854,0.96839,0.96839,60.92
20.04.2020 01:24:00.000 GMT+0100,0.96839,0.96844,0.96839,0.96840,33.44
20.04.2020 01:25:00.000 GMT+0100,0.96838,0.96841,0.96838,0.96841,21.01
20.04.2020 01:26:00.000 GMT+0100,0.96842,0.96843,0.96837,0.96840,44.52
20.04.2020 01:27:00.000 GMT+0100,0.96840,0.96840,0.96836,0.96840,28.21
20.04.2020 01:28:00.000 GMT+0100,0.96838,0.96843,0.96836,0.96843,38.89
20.04.2020 01:29:00.000 GMT+0100,0.96843,0.96849,0.96835,0.96837,56.56
20.04.2020 01:30:00.000 GMT+0100,0.96837,0.96840,0.96831,0.96832,50.77
