Local time,Open,High,Low,Close,Volume
20.04.2020 01:09:00.000 GMT+0100,1.08602,1.08608,1.08601,1.08606,71.4
20.04.2020 01:10:00.000 GMT+0100,1.08607,1.08610,1.08604,1.08606,42.37
20.04.2020 01:11:00.000 GMT+0100,1.08607,1.08609,1.08605,1.08605,82.86
20.04.2020 01:12:00.000 GMT+0100,1.08605,1.08605,1.08572,1.08588,163.12
20.04.2020 01:13:00.000 GMT+0100,1.08589,1.08598,1.08585,1.08593,87.88
20.04.2020 01:14:00.000 GMT+0100,1.08592,1.08594,1.08580,1.08590,151.33
20.04.2020 01:15:00.000 GMT+0100,1.08590,1.08591,1.08574,1.08586,175.57
20.04.2020 01:16:00.000 GMT+0100,1.08586,1.08598,1.08585,1.08595,199.53
20.04.2020 01:17:00.000 GMT+0100,1.08595,1.08597,1.08583,1.08593,126.27
20.04.2020 01:18:00.000 GMT+0100,1.08593,1.08608,1.08593,1.08606,51.19
20.04.2020 01:19:00.000 GMT+0100,1.08607,1.08608,1.08600,1.08600,63.34
20.04.2020 01:20:00.000 GMT+0100,1.08600,1.08600,1.08585,1.08586,28.7
20.04.2020 01:21:00.000 GMT+0100,1.08587,1.08592,1.08573,1.08580,110.89
20.04.2020 01:22:00.000 GMT+0100,1.08577,1.08590,1.08563,1.08588,168.02
20.04.2020 01:23:00.000 GMT+0100,1.08589,1.08604,1.08589,1.08604,33.75
20.04.2020 01:24:00.000 GMT+0100,1.08604,1.08605,1.08600,1.08604,40.2
20.04.2020 01:25:00.000 GMT+0100,1.08604,1.08608,1.08602,1.08603,15
20.04.2020 01:26:00.000 GMT+0100,1.08603,1.08607,1.08601,1.08604,23.25
20.04.2020 01:27:00.000 GMT+0100,1.08604,1.08611,1.08604,1.08606,29.25
20.04.2020 01:28:00.000 GMT+0100,1.08606,1.08609,1.08601,1.08601,20.02
20.04.2020 01:29:00.000 GMT+0100,1.08601,1.08610,1.08595,1.08609,24.23
20.04.2020 01:30:00.000 GMT+0100,1.08609,1.08614,1.08607,1.08614,87.16
20.04.2020 01:31:00.000 GMT+0100,1.08616,1.08634,1.08615,1.08634,43.3
