Local time,Open,High,Low,Close,Volume
20.04.2020 01:09:00.000 GMT+0100,1.24809,1.24809,1.24806,1.24807,16.86
20.04.2020 01:10:00.000 GMT+0100,1.24805,1.24805,1.24805,1.24805,1.1
20.04.2020 01:11:00.000 GMT+0100,1.24806,1.24806,1.24806,1.24806,6.6
20.04.2020 01:12:00.000 GMT+0100,1.24803,1.24803,1.24767,1.24798,85.13
20.04.2020 01:13:00.000 GMT+0100,1.24799,1.24800,1.24796,1.24798,14.62
20.04.2020 01:14:00.000 GMT+0100,1.24796,1.24796,1.24777,1.24786,69.15
20.04.2020 01:15:00.000 GMT+0100,1.24781,1.24781,1.24761,1.24768,108.88
20.04.2020 01:16:00.000 GMT+0100,1.24767,1.24774,1.24760,1.24764,80.66
20.04.2020 01:17:00.000 GMT+0100,1.24763,1.24768,1.24754,1.24764,65.12
20.04.2020 01:18:00.000 GMT+0100,1.24768,1.24791,1.24768,1.24791,51.94
20.04.2020 01:19:00.000 GMT+0100,1.24791,1.24798,1.24791,1.24795,48.79
20.04.2020 01:20:00.000 GMT+0100,1.24795,1.24795,1.24781,1.24781,14.47
20.04.2020 01:21:00.000 GMT+0100,1.24784,1.24786,1.24764,1.24765,35.72
20.04.2020 01:22:00.000 GMT+0100,1.24763,1.24776,1.24763,1.24775,41.44
20.04.2020 01:23:00.000 GMT+0100,1.24780,1.24788,1.24776,1.24776,83.08
20.04.2020 01:24:00.000 GMT+0100,1.24773,1.24773,1.24764,1.24771,36.8
20.04.2020 01:25:00.000 GMT+0100,1.24771,1.24782,1.24771,1.24778,39.54
20.04.2020 01:26:00.000 GMT+0100,1.24778,1.24778,1.24766,1.24770,36.69
20.04.2020 01:27:00.000 GMT+0100,1.24779,1.24792,1.24779,1.24787,34.41
20.04.2020 01:28:00.000 GMT+0100,1.24787,1.24791,1.24783,1.24789,46.21
20.04.2020 01:29:00.000 GMT+0100,1.24787,1.24797,1.24787,1.24795,38.94
20.04.2020 01:30:00.000 GMT+0100,1.24797,1.24808,1.24793,1.24806,23.2
20.04.2020 01:31:00.000 GMT+0100,1.24808,1.24822,1.24806,1.24822,50.02
20.04.2020 01:32:00.000 GMT+0100,1.24822,1.24823,1.24817,1.24823,24.92
20.04.2020 01:33:00.000 GMT+0100,1.24823,1.24824,1.24819,1.24823,31.99
20.04.2020 01:34:00.000 GMT+0100,1.24823,1.24830,1.24819,1.24829,21.67
20.04.2020 01:35:00.000 GMT+0100,1.24829,1.24833,1.24828,1.24828,25.54
20.04.2020 01:36:00.000 GMT+0100,1.24827,1.24827,1.24817,1.24817,40.91
20.04.2020 01:37:00.000 GMT+0100,1.24815,1.24815,1.24811,1.24811,12.8
20.04.2020 01:38:00.000 GMT+0100,1.24814,1.24834,1.24814,1.24833,19.58
20.04.2020 01:39:00.000 GMT+0100,1.24831,1.24842,1.24826,1.24842,39.78
20.04.2020 01:40:00.000 GMT+0100,1.24843,1.24846,1.24841,1.24846,58.92
20.04.2020 01:41:00.000 GMT+0100,1.24847,1.24847,1.24839,1.24839,12.49
20.04.2020 01:42:00.000 GMT+0100,1.24838,1.24838,1.24835,1.24835,8.24
20.04.2020 01:43:00.000 GMT+0100,1.24835,1.24835,1.24835,1.24835,19.52
20.04.2020 01:44:00.000 GMT+0100,1.24836,1.24836,1.24836,1.24836,3.66
20.04.2020 01:45:00.000 GMT+0100,1.24836,1.24836,1.24820,1.24821,31.68
20.04.2020 01:46:00.000 GMT+0100,1.24823,1.24839,1.24823,1.24838,26.79
20.04.2020 01:47:00.000 GMT+0100,1.24834,1.24852,1.24834,1.24852,33.99
20.04.2020 01:48:00.000 GMT+0100,1.24858,1.24877,1.24853,1.24854,158.66
20.04.2020 01:49:00.000 GMT+0100,1.24854,1.24861,1.24853,1.24856,46.94
20.04.2020 01:50:00.000 GMT+0100,1.24855,1.24871,1.24855,1.24861,93.68
20.04.2020 01:51:00.000 GMT+0100,1.24861,1.24861,1.24837,1.24851,109.58
20.04.2020 01:52:00.000 GMT+0100,1.24846,1.24882,1.24846,1.24872,128.29
20.04.2020 01:53:00.000 GMT+0100,1.24872,1.24896,1.24869,1.24883,226.18
20.04.2020 01:54:00.000 GMT+0100,1.24883,1.24894,1.24876,1.24876,125.14
20.04.2020 01:55:00.000 GMT+0100,1.24878,1.24881,1.24844,1.24859,167.78
20.04.2020 01:56:00.000 GMT+0100,1.24865,1.24884,1.24865,1.24868,120.03
20.04.2020 01:57:00.000 GMT+0100,1.24868,1.24869,1.24819,1.24819,141.02
20.04.2020 01:58:00.000 GMT+0100,1.24819,1.24828,1.24810,1.24825,136.23
